x,y
24,44
69,81
82,98
83,11
69,13
33,29
63,53
96,0
94,82
94,31
85,39
18,17
16,30
68,48
1,95
97,22
42,42
71,72
68,66
8,50
81,48
27,82
51,75
71,47
13,42
52,0
6,26
79,84
62,91
84,3
23,9
31,32
59,62
66,21
22,84
66,93
90,77
69,99
3,13
16,93
9,26
59,45
24,76
74,73
63,12
89,35
46,72
62,13
54,82
14,22
35,21
46,64
14,42
22,68
7,7
56,46
93,66
66,16
81,1
20,78
3,66
23,37
27,91
83,17
78,7
13,50
86,72
55,48
14,68
60,45
3,71
64,96
86,31
93,55
99,23
73,13
84,1
45,17
10,59
93,40
62,9
4,82
3,86
9,20
64,18
14,9
62,77
84,11
69,65
13,87
2,14
68,13
92,45
76,89
72,38
41,66
52,27
20,43
38,68
93,32
